"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"67","Frenkie de Jong","https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330","€60.00m","Netherlands","Midfield - Central Midfield","right","FC Barcelona","Willem II/RKC Y.","Netherlands"
"68","James Maddison","https://www.transfermarkt.com/james-maddison/profil/spieler/294057","€60.00m","England","Midfield - Attacking Midfield","right","Tottenham Hotspur","Coventry U18","England"
"69","Dani Olmo","https://www.transfermarkt.com/dani-olmo/profil/spieler/293385","€60.00m","Spain","Midfield - Attacking Midfield","right","FC Barcelona","Espanyol Youth","Spain"
"70","Bernardo Silva","https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641","€60.00m","Portugal","Midfield - Attacking Midfield","left","Manchester City","Benfica Yth","Portugal"
"71","Federico Dimarco","https://www.transfermarkt.com/federico-dimarco/profil/spieler/198116","€60.00m","Italy","Defender - Left-Back","left","Inter Milan","Inter Youth","Italy"
"72","Leny Yoro","https://www.transfermarkt.com/leny-yoro/profil/spieler/923831","€55.00m","France","Defender - Centre-Back","right","Manchester United","LOSC Lille Yth.","France"
"73","Kobbie Mainoo","https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374","€55.00m","England","Midfield - Central Midfield","right","Manchester United","Man Utd Youth","England"
"74","Nicolas Jackson","https://www.transfermarkt.com/nicolas-jackson/profil/spieler/776890","€55.00m","Senegal","Attack - Centre-Forward","right","Chelsea FC","Casa Sports","Senegal"
"75","Savinho","https://www.transfermarkt.com/savinho/profil/spieler/743591","€55.00m","Brazil","Attack - Right Winger","left","Manchester City","Atlético-MG U20","Brazil"
"76","Gabriel Martinelli","https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488","€55.00m","Brazil","Attack - Left Winger","right","Arsenal FC","Ituano U20","Brazil"
"77","Nuno Mendes","https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341","€55.00m","Portugal","Defender - Left-Back","left","Paris Saint-Germain","O Despertar Fo.","Portugal"
"78","Levi Colwill","https://www.transfermarkt.com/levi-colwill/profil/spieler/614258","€55.00m","England","Defender - Centre-Back","left","Chelsea FC","Chelsea Youth","England"
"79","Micky van de Ven","https://www.transfermarkt.com/micky-van-de-ven/profil/spieler/557459","€55.00m","Netherlands","Defender - Centre-Back","left","Tottenham Hotspur","WSV '30 Yth.","Netherlands"
"80","Vitinha","https://www.transfermarkt.com/vitinha/profil/spieler/487469","€55.00m","Portugal","Midfield - Central Midfield","right","Paris Saint-Germain","FC Porto Youth","Portugal"
"81","Pedro Neto","https://www.transfermarkt.com/pedro-neto/profil/spieler/487465","€55.00m","Portugal","Attack - Right Winger","left","Chelsea FC","Vianense For.","Portugal"
"82","Amadou Onana","https://www.transfermarkt.com/amadou-onana/profil/spieler/485706","€55.00m","Belgium","Midfield - Defensive Midfield","right","Aston Villa","Zulte W. Youth","Belgium"
